config,market_key,n_agents,n_ticks,truth_label,signal_mu,start_mid,end_mid,drift,direction_score,distance_to_truth,volatility,max_abs_step,n_fills,fills_per_agent_tick,notional,notional_per_agent,active_trade_fill_rate,cancel_per_fill,price_response_per_1k_notional,pnl_mean,pnl_std,pnl_spread
c1_ethereum_n10_s0,ethereum,10,20,NO 结局，YES=0.00,0.5795,0.575,0.52,-0.055,0.055,0.52,0.0126,0.035,25,0.125,355.6718,35.5672,0.266,2.32,0.1546,-26.0911,33.1923,113.8644
c1_ethereum_n20_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.575,0.35,-0.225,0.225,0.35,0.0216,0.085,46,0.115,1230.7566,61.5378,0.2201,2.6087,0.1828,-7.8934,168.7015,739.8887
c1_ethereum_n50_s0,ethereum,50,20,NO 结局，YES=0.00,0.5795,0.61,0.24,-0.37,0.37,0.24,0.0642,0.28,191,0.191,5418.5904,108.3718,0.3473,1.3665,0.0683,-1.5787,193.9476,836.177
c1_ethereum_n100_s0,ethereum,100,20,NO 结局，YES=0.00,0.5795,0.595,0.42,-0.175,0.175,0.42,0.03,0.13,453,0.2265,15167.6475,151.6765,0.4129,1.0486,0.0115,-1.6391,409.8068,2241.1755
c1_robotaxi_n10_s0,robotaxi,10,20,YES 结局=1.00,0.4187,0.485,0.425,-0.06,-0.06,0.575,0.0218,0.05,24,0.12,608.7061,60.8706,0.1967,2.5,0.0986,2.2747,68.9195,201.5625
c1_robotaxi_n20_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.475,0.39,-0.085,-0.085,0.61,0.0154,0.03,47,0.1175,890.2458,44.5123,0.2098,2.3404,0.0955,9.4737,255.3492,1093.8648
c1_robotaxi_n50_s0,robotaxi,50,20,YES 结局=1.00,0.4187,0.49,0.055,-0.435,-0.435,0.945,0.0776,0.3,229,0.229,5202.9518,104.059,0.3915,1.083,0.0836,1.3263,150.5254,648.1588
c1_robotaxi_n100_s0,robotaxi,100,20,YES 结局=1.00,0.4187,0.495,0.245,-0.25,-0.25,0.755,0.0813,0.3,353,0.1765,10144.3259,101.4433,0.3064,1.4873,0.0246,1.6447,330.9953,2174.6407
