bin,ts,yes_price,volume,real_cum_trades,frac,slug,mapped_tick,config,market_title,truth
0,2025-08-11 04:11:26+00:00,0.3533618590595222,1280.7092989999999,38,0.0,will-trump-deploy-national-guard-in-dc-by-monday,0.0,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
1,2025-08-11 05:33:56+00:00,0.32535756992523435,778.805917,75,0.012658227848101266,will-trump-deploy-national-guard-in-dc-by-monday,0.24050632911392406,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
2,2025-08-11 06:55:42+00:00,0.3503065422768092,1488.438361,113,0.02531645569620253,will-trump-deploy-national-guard-in-dc-by-monday,0.4810126582278481,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
3,2025-08-11 08:01:18+00:00,0.35635870127525227,1721.7895780000001,150,0.0379746835443038,will-trump-deploy-national-guard-in-dc-by-monday,0.7215189873417722,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
4,2025-08-11 09:21:10+00:00,0.4017193573631833,3194.145947,188,0.05063291139240506,will-trump-deploy-national-guard-in-dc-by-monday,0.9620253164556962,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
5,2025-08-11 10:19:26+00:00,0.4860861199289447,2240.264999,225,0.06329113924050633,will-trump-deploy-national-guard-in-dc-by-monday,1.2025316455696204,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
6,2025-08-11 10:55:44+00:00,0.4786075386026753,3737.755792,263,0.0759493670886076,will-trump-deploy-national-guard-in-dc-by-monday,1.4430379746835444,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
7,2025-08-11 12:02:10+00:00,0.39110919677036393,7695.251624000001,300,0.08860759493670886,will-trump-deploy-national-guard-in-dc-by-monday,1.6835443037974684,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
8,2025-08-11 12:36:20+00:00,0.4935910719615826,3272.483432,338,0.10126582278481013,will-trump-deploy-national-guard-in-dc-by-monday,1.9240506329113924,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
9,2025-08-11 13:01:28+00:00,0.49908697867945173,3772.1870710000003,375,0.11392405063291139,will-trump-deploy-national-guard-in-dc-by-monday,2.1645569620253164,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
10,2025-08-11 13:29:16+00:00,0.46292682547842645,2532.253432,413,0.12658227848101267,will-trump-deploy-national-guard-in-dc-by-monday,2.405063291139241,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
11,2025-08-11 13:46:04+00:00,0.5219443889040796,4982.096947,450,0.13924050632911392,will-trump-deploy-national-guard-in-dc-by-monday,2.6455696202531644,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
12,2025-08-11 14:06:38+00:00,0.573731425425066,12282.863863999999,488,0.1518987341772152,will-trump-deploy-national-guard-in-dc-by-monday,2.886075949367089,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
13,2025-08-11 14:30:10+00:00,0.7463607947388164,3976.532375,525,0.16455696202531644,will-trump-deploy-national-guard-in-dc-by-monday,3.1265822784810124,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
14,2025-08-11 14:41:40+00:00,0.8058422256424035,9212.094113,563,0.17721518987341772,will-trump-deploy-national-guard-in-dc-by-monday,3.367088607594937,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
15,2025-08-11 14:51:34+00:00,0.8663824536731303,4760.7810739999995,600,0.189873417721519,will-trump-deploy-national-guard-in-dc-by-monday,3.607594936708861,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
16,2025-08-11 14:59:02+00:00,0.4866543142434862,3390.239257,638,0.20253164556962025,will-trump-deploy-national-guard-in-dc-by-monday,3.848101265822785,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
17,2025-08-11 15:01:30+00:00,0.23073635245106883,780.488384,675,0.21518987341772153,will-trump-deploy-national-guard-in-dc-by-monday,4.088607594936709,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
18,2025-08-11 15:08:20+00:00,0.24886106249641932,2281.6552,713,0.22784810126582278,will-trump-deploy-national-guard-in-dc-by-monday,4.329113924050633,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
19,2025-08-11 15:17:02+00:00,0.179885854927378,661.342371,750,0.24050632911392406,will-trump-deploy-national-guard-in-dc-by-monday,4.569620253164557,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
20,2025-08-11 15:35:24+00:00,0.09933519676921654,991.6797089999998,788,0.25316455696202533,will-trump-deploy-national-guard-in-dc-by-monday,4.810126582278482,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
21,2025-08-11 15:50:44+00:00,0.13897423496197261,740.81375,825,0.26582278481012656,will-trump-deploy-national-guard-in-dc-by-monday,5.0506329113924044,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
22,2025-08-11 15:59:22+00:00,0.2010443019797381,1350.80375,863,0.27848101265822783,will-trump-deploy-national-guard-in-dc-by-monday,5.291139240506329,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
23,2025-08-11 16:09:28+00:00,0.20045925675361131,620.1328679999999,900,0.2911392405063291,will-trump-deploy-national-guard-in-dc-by-monday,5.531645569620253,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
24,2025-08-11 16:29:28+00:00,0.24741787012011035,1965.1794349999998,938,0.3037974683544304,will-trump-deploy-national-guard-in-dc-by-monday,5.772151898734178,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
25,2025-08-11 16:40:44+00:00,0.39304628379634404,3855.112294,975,0.31645569620253167,will-trump-deploy-national-guard-in-dc-by-monday,6.012658227848101,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
26,2025-08-11 16:46:12+00:00,0.3992801870403435,3587.897364,1013,0.3291139240506329,will-trump-deploy-national-guard-in-dc-by-monday,6.253164556962025,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
27,2025-08-11 16:54:06+00:00,0.3809032060995578,4599.25539,1050,0.34177215189873417,will-trump-deploy-national-guard-in-dc-by-monday,6.493670886075949,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
28,2025-08-11 17:02:06+00:00,0.27959257631543605,1735.331201,1088,0.35443037974683544,will-trump-deploy-national-guard-in-dc-by-monday,6.734177215189874,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
29,2025-08-11 17:20:32+00:00,0.3397434961112302,2047.139858,1125,0.3670886075949367,will-trump-deploy-national-guard-in-dc-by-monday,6.974683544303797,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
30,2025-08-11 17:40:54+00:00,0.3680126507943183,4331.445999,1163,0.379746835443038,will-trump-deploy-national-guard-in-dc-by-monday,7.215189873417722,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
31,2025-08-11 18:05:46+00:00,0.2925207871304279,2311.614203,1200,0.3924050632911392,will-trump-deploy-national-guard-in-dc-by-monday,7.455696202531645,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
32,2025-08-11 18:30:34+00:00,0.3386032782287756,2822.0167739999997,1238,0.4050632911392405,will-trump-deploy-national-guard-in-dc-by-monday,7.69620253164557,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
33,2025-08-11 19:18:12+00:00,0.32337900346144904,5372.408062,1275,0.4177215189873418,will-trump-deploy-national-guard-in-dc-by-monday,7.936708860759493,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
34,2025-08-11 19:37:34+00:00,0.44501063319203626,3936.004082,1313,0.43037974683544306,will-trump-deploy-national-guard-in-dc-by-monday,8.177215189873419,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
35,2025-08-11 19:50:32+00:00,0.34389259143568557,2865.096465,1350,0.4430379746835443,will-trump-deploy-national-guard-in-dc-by-monday,8.41772151898734,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
36,2025-08-11 20:10:06+00:00,0.3527901945811678,2424.290643,1388,0.45569620253164556,will-trump-deploy-national-guard-in-dc-by-monday,8.658227848101266,rq1_m02_s0,特朗普周一前部署国民警卫队,1.0
