bin,ts,yes_price,volume,real_cum_trades,frac,slug,cum_trades,trade_progress,config,market_title,truth
24,2025-09-12 11:28:05+00:00,0.22499999999999998,118.47839999999998,36,0.3037974683544304,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,21.265822784810126,0.3037974683544304,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
25,2025-09-12 11:29:21+00:00,0.14,14.000000000000002,37,0.31645569620253167,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,22.151898734177216,0.31645569620253167,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
26,2025-09-12 11:49:47+00:00,0.185,7.4,39,0.3291139240506329,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,23.037974683544302,0.3291139240506329,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
27,2025-09-12 11:51:49+00:00,0.06999999999999995,1.408399999999999,40,0.34177215189873417,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,23.924050632911392,0.34177215189873417,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
28,2025-09-13 09:13:13+00:00,0.22,9.165199999999999,41,0.35443037974683544,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,24.810126582278482,0.35443037974683544,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
29,2025-09-13 13:13:47+00:00,0.2393103405915576,23.299999000000003,43,0.3670886075949367,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,25.69620253164557,0.3670886075949367,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
30,2025-09-13 13:26:17+00:00,0.22,0.88,44,0.379746835443038,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,26.58227848101266,0.379746835443038,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
31,2025-09-14 13:43:42+00:00,0.27,5.263332999999999,46,0.3924050632911392,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,27.468354430379744,0.3924050632911392,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
32,2025-09-14 20:53:40+00:00,0.24065069650433668,128.18499999999997,47,0.4050632911392405,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,28.354430379746834,0.4050632911392405,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
33,2025-09-16 13:30:20+00:00,0.2249999137499784,1.954799,49,0.4177215189873418,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,29.240506329113924,0.4177215189873418,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
34,2025-09-17 11:55:40+00:00,0.18217391304347827,4.19,50,0.43037974683544306,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,30.126582278481013,0.43037974683544306,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
35,2025-09-17 11:56:12+00:00,0.19,0.95,51,0.4430379746835443,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,31.0126582278481,0.4430379746835443,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
36,2025-09-17 16:35:10+00:00,0.21464914331807405,71.27201199999999,53,0.45569620253164556,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,31.89873417721519,0.45569620253164556,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
37,2025-09-17 23:46:58+00:00,0.24905359633393107,50.0,54,0.46835443037974683,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,32.78481012658228,0.46835443037974683,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
38,2025-09-19 12:09:26+00:00,0.1299999430499812,2.7999989999999997,56,0.4810126582278481,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,33.67088607594937,0.4810126582278481,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
39,2025-09-20 07:21:50+00:00,0.07000002601409439,0.10763399999999992,57,0.4936708860759494,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,34.55696202531646,0.4936708860759494,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
40,2025-09-20 10:35:40+00:00,0.07000004227310963,0.09935399999999996,58,0.5063291139240507,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,35.44303797468355,0.5063291139240507,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
41,2025-09-21 15:05:12+00:00,0.1,17.02,60,0.5189873417721519,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,36.32911392405063,0.5189873417721519,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
42,2025-09-21 22:32:42+00:00,0.1299999627333316,2.999999,61,0.5316455696202531,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,37.21518987341772,0.5316455696202531,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
43,2025-09-23 12:07:00+00:00,0.0812703534825945,23.91432899999998,63,0.5443037974683544,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,38.10126582278481,0.5443037974683544,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
44,2025-09-23 12:07:32+00:00,0.1,1.0,64,0.5569620253164557,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,38.98734177215189,0.5569620253164557,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
45,2025-09-23 19:04:57+00:00,0.08999999999999997,0.2294999999999999,65,0.569620253164557,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,39.87341772151899,0.569620253164557,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
46,2025-09-24 10:07:31+00:00,0.065,3.9625000000000004,67,0.5822784810126582,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,40.75949367088607,0.5822784810126582,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
47,2025-09-24 20:28:03+00:00,0.03,0.6920999999999999,68,0.5949367088607594,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,41.64556962025316,0.5949367088607594,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
48,2025-09-25 07:13:02+00:00,0.044999968149997134,1.248999,70,0.6075949367088608,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,42.53164556962025,0.6075949367088608,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
49,2025-09-25 14:03:17+00:00,0.020000000000000018,0.1020400000000001,71,0.620253164556962,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,43.41772151898734,0.620253164556962,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
50,2025-09-27 20:28:01+00:00,0.07179957712453666,35.35919900000002,73,0.6329113924050633,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,44.30379746835443,0.6329113924050633,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
