config,market_key,n_agents,n_ticks,truth_label,signal_mu,start_mid,end_mid,drift,direction_score,distance_to_truth,volatility,max_abs_step,n_fills,fills_per_agent_tick,notional,notional_per_agent,active_trade_fill_rate,cancel_per_fill,price_response_per_1k_notional,pnl_mean,pnl_std,pnl_spread
c3_ethereum_t10_s0,ethereum,20,10,NO 结局，YES=0.00,0.5795,0.58,0.525,-0.055,0.055,0.525,0.0139,0.03,28,0.14,490.5145,24.5257,0.2373,2.0714,0.1121,-9.2373,25.8266,83.164
c3_ethereum_t20_s0,ethereum,20,20,NO 结局，YES=0.00,0.5795,0.575,0.545,-0.03,0.03,0.545,0.0135,0.03,57,0.1425,1243.4687,62.1734,0.2727,1.8772,0.0241,-2.2882,106.3391,336.4835
c3_ethereum_t50_s0,ethereum,20,50,NO 结局，YES=0.00,0.5795,0.585,0.07,-0.515,0.515,0.07,0.0961,0.425,149,0.149,2650.7627,132.5381,0.295,1.9597,0.1943,-7.7617,111.7536,474.6038
c3_ethereum_t100_s0,ethereum,20,100,NO 结局，YES=0.00,0.5795,0.58,0.23,-0.35,0.35,0.23,0.152,0.58,312,0.156,4578.3147,228.9157,0.3129,1.859,0.0764,-3.8985,76.9812,324.8188
c3_robotaxi_t10_s0,robotaxi,20,10,YES 结局=1.00,0.4187,0.475,0.37,-0.105,-0.105,0.63,0.013,0.04,31,0.155,1172.139,58.607,0.2627,1.7419,0.0896,7.4737,252.1567,901.81
c3_robotaxi_t20_s0,robotaxi,20,20,YES 结局=1.00,0.4187,0.48,0.3,-0.18,-0.18,0.7,0.0274,0.11,37,0.0925,782.8021,39.1401,0.1644,3.2432,0.2299,8.8624,413.3435,1782.6957
c3_robotaxi_t50_s0,robotaxi,20,50,YES 结局=1.00,0.4187,0.5,0.16,-0.34,-0.34,0.84,0.0258,0.12,149,0.149,2650.1202,132.506,0.2633,1.7785,0.1283,-0.9974,213.7452,952.8253
c3_robotaxi_t100_s0,robotaxi,20,100,YES 结局=1.00,0.4187,0.5,0.05,-0.45,-0.45,0.95,0.0319,0.21,335,0.1675,6799.8158,339.9908,0.3054,1.5612,0.0662,-2.8421,183.916,596.2736
