tick,active_actions,cancel_actions,fills,cum_trades,cum_active_actions,cum_cancel_actions,execution_rate,cancel_per_trade,series,config,market,market_title,experiment
86,9.0,9.0,2.0,281.0,951.0,461.0,0.29547844374342797,1.6405693950177935,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
87,14.0,4.0,6.0,287.0,965.0,465.0,0.29740932642487045,1.6202090592334495,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
88,13.0,2.0,7.0,294.0,978.0,467.0,0.3006134969325153,1.58843537414966,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
89,10.0,4.0,4.0,298.0,988.0,471.0,0.3016194331983806,1.580536912751678,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
90,16.0,2.0,6.0,304.0,1004.0,473.0,0.30278884462151395,1.555921052631579,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
91,9.0,6.0,7.0,311.0,1013.0,479.0,0.3070088845014807,1.540192926045016,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
92,10.0,6.0,3.0,314.0,1023.0,485.0,0.3069403714565005,1.5445859872611465,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
93,12.0,6.0,5.0,319.0,1035.0,491.0,0.30821256038647343,1.5391849529780564,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
94,11.0,5.0,1.0,320.0,1046.0,496.0,0.30592734225621415,1.55,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
95,13.0,4.0,4.0,324.0,1059.0,500.0,0.3059490084985836,1.5432098765432098,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
96,9.0,7.0,4.0,328.0,1068.0,507.0,0.30711610486891383,1.545731707317073,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
97,11.0,4.0,4.0,332.0,1079.0,511.0,0.3076923076923077,1.5391566265060241,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
99,8.0,5.0,0.0,335.0,1097.0,523.0,0.3053783044667274,1.5611940298507463,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
