tick,active_actions,cancel_actions,fills,cum_trades,cum_active_actions,cum_cancel_actions,execution_rate,cancel_per_trade,series,config,market,market_title,experiment
52,10.0,6.0,2.0,157.0,575.0,292.0,0.27304347826086955,1.8598726114649682,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
53,12.0,4.0,13.0,170.0,587.0,296.0,0.28960817717206133,1.7411764705882353,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
54,12.0,5.0,2.0,172.0,599.0,301.0,0.2871452420701169,1.75,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
55,11.0,6.0,2.0,174.0,610.0,307.0,0.28524590163934427,1.764367816091954,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
56,10.0,7.0,9.0,183.0,620.0,314.0,0.29516129032258065,1.715846994535519,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
57,12.0,5.0,2.0,185.0,632.0,319.0,0.2927215189873418,1.7243243243243243,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
58,9.0,8.0,1.0,186.0,641.0,327.0,0.29017160686427457,1.7580645161290323,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
59,9.0,8.0,1.0,187.0,650.0,335.0,0.2876923076923077,1.7914438502673797,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
60,12.0,5.0,8.0,195.0,662.0,340.0,0.2945619335347432,1.7435897435897436,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
61,11.0,5.0,7.0,202.0,673.0,345.0,0.300148588410104,1.7079207920792079,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
63,5.0,8.0,0.0,204.0,689.0,358.0,0.2960812772133527,1.7549019607843137,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
64,17.0,1.0,11.0,215.0,706.0,359.0,0.3045325779036827,1.669767441860465,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
65,9.0,6.0,3.0,218.0,715.0,365.0,0.3048951048951049,1.6743119266055047,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
