市场,智能体数量,tick,累积成交笔数,平均信念,模拟市场价格,差距
以太坊 5000 美元,100,9,189.0,0.4006060606060606,0.5918181818181818,-0.19121212121212122
以太坊 5000 美元,100,10,205.0,0.3968,0.595,-0.1982
以太坊 5000 美元,100,11,236.0,0.39808080808080804,0.596010101010101,-0.19792929292929295
以太坊 5000 美元,100,12,266.0,0.3997,0.5982999999999999,-0.19859999999999994
以太坊 5000 美元,100,13,285.0,0.3921428571428571,0.595,-0.20285714285714285
以太坊 5000 美元,100,14,325.0,0.38939393939393935,0.595,-0.20560606060606063
以太坊 5000 美元,100,15,361.0,0.3676,0.59395,-0.22635
以太坊 5000 美元,100,16,383.0,0.337979797979798,0.5818686868686869,-0.24388888888888888
以太坊 5000 美元,100,17,406.0,0.28878787878787876,0.5701010101010101,-0.28131313131313135
以太坊 5000 美元,100,18,429.0,0.2216,0.55815,-0.33655
以太坊 5000 美元,100,19,453.0,0.17696969696969697,0.41919191919191917,-0.2422222222222222
特斯拉 Robotaxi,10,0,0.0,0.34199999999999997,0.48250000000000004,-0.14050000000000007
特斯拉 Robotaxi,10,1,1.0,0.351,0.4665,-0.11550000000000005
特斯拉 Robotaxi,10,2,1.0,0.33799999999999997,0.487,-0.14900000000000002
特斯拉 Robotaxi,10,3,1.0,0.337,0.49000000000000005,-0.15300000000000002
特斯拉 Robotaxi,10,4,2.0,0.33499999999999996,0.49000000000000005,-0.15500000000000008
特斯拉 Robotaxi,10,5,5.0,0.328,0.45999999999999996,-0.13199999999999995
特斯拉 Robotaxi,10,6,5.0,0.325,0.46299999999999997,-0.13799999999999996
特斯拉 Robotaxi,10,7,6.0,0.312,0.49000000000000005,-0.17800000000000005
特斯拉 Robotaxi,10,8,6.0,0.298,0.49000000000000005,-0.19200000000000006
特斯拉 Robotaxi,10,9,6.0,0.303,0.49000000000000005,-0.18700000000000006
特斯拉 Robotaxi,10,10,6.0,0.303,0.49000000000000005,-0.18700000000000006
特斯拉 Robotaxi,10,11,7.0,0.302,0.49000000000000005,-0.18800000000000006
特斯拉 Robotaxi,10,12,8.0,0.296,0.49000000000000005,-0.19400000000000006
特斯拉 Robotaxi,10,13,8.0,0.315,0.4779999999999999,-0.16299999999999992
特斯拉 Robotaxi,10,14,9.0,0.304,0.466,-0.16200000000000003
特斯拉 Robotaxi,10,15,13.0,0.294,0.49000000000000005,-0.19600000000000006
特斯拉 Robotaxi,10,16,18.0,0.28900000000000003,0.49000000000000005,-0.201
特斯拉 Robotaxi,10,17,18.0,0.275,0.466,-0.191
特斯拉 Robotaxi,10,18,21.0,0.26,0.46299999999999997,-0.20299999999999996
特斯拉 Robotaxi,10,19,24.0,0.24,0.43999999999999995,-0.19999999999999996
特斯拉 Robotaxi,20,0,1.0,0.3795,0.472,-0.09249999999999997
特斯拉 Robotaxi,20,1,3.0,0.3745,0.4715,-0.09699999999999998
特斯拉 Robotaxi,20,2,6.0,0.3715,0.4665,-0.09500000000000003
特斯拉 Robotaxi,20,3,7.0,0.367,0.4525,-0.08550000000000002
特斯拉 Robotaxi,20,4,8.0,0.356,0.44975000000000004,-0.09375000000000006
特斯拉 Robotaxi,20,5,10.0,0.3445,0.4525,-0.10800000000000004
特斯拉 Robotaxi,20,6,13.0,0.3295,0.46075,-0.13124999999999998
特斯拉 Robotaxi,20,7,14.0,0.333,0.47824999999999995,-0.14524999999999993
特斯拉 Robotaxi,20,8,16.0,0.33775,0.47124999999999995,-0.13349999999999995
特斯拉 Robotaxi,20,9,17.0,0.3485,0.4699999999999999,-0.12149999999999994
特斯拉 Robotaxi,20,10,20.0,0.34500000000000003,0.46224999999999994,-0.11724999999999991
特斯拉 Robotaxi,20,11,20.0,0.34750000000000003,0.48274999999999996,-0.13524999999999993
特斯拉 Robotaxi,20,12,24.0,0.35350000000000004,0.46624999999999994,-0.1127499999999999
特斯拉 Robotaxi,20,13,28.0,0.34550000000000003,0.45,-0.10449999999999998
特斯拉 Robotaxi,20,14,34.0,0.325,0.44925,-0.12424999999999997
