市场,config,tick,累积成交笔数,平均信念,模拟市场价格,差距,真实结局
最高法院裁定支持特朗普关税,rq1_m03_s0,10,19.0,0.254,0.2995,-0.045499999999999985,
最高法院裁定支持特朗普关税,rq1_m03_s0,11,22.0,0.256,0.309,-0.05299999999999999,
最高法院裁定支持特朗普关税,rq1_m03_s0,12,30.0,0.267,0.317,-0.04999999999999999,
最高法院裁定支持特朗普关税,rq1_m03_s0,13,34.0,0.2695,0.32,-0.05049999999999999,
最高法院裁定支持特朗普关税,rq1_m03_s0,14,38.0,0.27799999999999997,0.329,-0.051000000000000045,
最高法院裁定支持特朗普关税,rq1_m03_s0,15,41.0,0.27599999999999997,0.33,-0.05400000000000005,
最高法院裁定支持特朗普关税,rq1_m03_s0,16,43.0,0.2815,0.34500000000000003,-0.06350000000000006,
最高法院裁定支持特朗普关税,rq1_m03_s0,17,44.0,0.2910526315789474,0.3631578947368421,-0.07210526315789473,
最高法院裁定支持特朗普关税,rq1_m03_s0,18,50.0,0.298,0.3875,-0.08950000000000002,
最高法院裁定支持特朗普关税,rq1_m03_s0,19,54.0,0.3068421052631579,0.395,-0.0881578947368421,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,0,2.0,0.279,0.33399999999999996,-0.05499999999999994,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,1,3.0,0.2815,0.33799999999999997,-0.056499999999999995,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,2,4.0,0.2805263157894737,0.3494736842105263,-0.06894736842105265,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,3,6.0,0.286,0.37425,-0.08825000000000005,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,4,9.0,0.29250000000000004,0.3795,-0.08699999999999997,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,5,10.0,0.2975,0.388,-0.09050000000000002,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,6,13.0,0.3045,0.3915,-0.08700000000000002,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,7,15.0,0.3145,0.39375,-0.07924999999999999,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,8,17.0,0.32525,0.39,-0.06475000000000003,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,9,20.0,0.3135,0.3925,-0.07900000000000001,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,10,30.0,0.319,0.4,-0.08100000000000002,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,11,42.0,0.311,0.4,-0.08900000000000002,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,12,48.0,0.3115,0.4,-0.08850000000000002,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,13,51.0,0.313,0.40325000000000005,-0.09025000000000005,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,14,56.0,0.2963157894736842,0.4218421052631579,-0.1255263157894737,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,15,58.0,0.2995,0.42000000000000004,-0.12050000000000005,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,16,63.0,0.2995,0.42000000000000004,-0.12050000000000005,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,17,63.0,0.2835,0.42000000000000004,-0.13650000000000007,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,18,69.0,0.2655,0.276,-0.01050000000000001,
Katy Perry与Justin Trudeau关系确认,rq1_m04_s0,19,71.0,0.21400000000000002,0.2845,-0.07049999999999995,
比特币7月触及12.5万美元,rq1_m05_s0,0,1.0,0.182,0.24900000000000003,-0.06700000000000003,
比特币7月触及12.5万美元,rq1_m05_s0,1,4.0,0.184,0.259,-0.07500000000000001,
比特币7月触及12.5万美元,rq1_m05_s0,2,4.0,0.19526315789473683,0.2594736842105263,-0.06421052631578947,
比特币7月触及12.5万美元,rq1_m05_s0,3,5.0,0.1695,0.2635,-0.094,
比特币7月触及12.5万美元,rq1_m05_s0,4,9.0,0.166,0.26475,-0.09874999999999998,
比特币7月触及12.5万美元,rq1_m05_s0,5,12.0,0.15775,0.2605,-0.10275000000000001,
比特币7月触及12.5万美元,rq1_m05_s0,6,17.0,0.14578947368421052,0.25578947368421057,-0.11000000000000004,
比特币7月触及12.5万美元,rq1_m05_s0,7,17.0,0.14550000000000002,0.2655,-0.12,
比特币7月触及12.5万美元,rq1_m05_s0,8,21.0,0.139,0.2595,-0.1205,
比特币7月触及12.5万美元,rq1_m05_s0,9,22.0,0.1405263157894737,0.2507894736842105,-0.11026315789473681,
比特币7月触及12.5万美元,rq1_m05_s0,10,22.0,0.12450000000000001,0.25475,-0.13024999999999998,
比特币7月触及12.5万美元,rq1_m05_s0,11,25.0,0.12250000000000001,0.24500000000000002,-0.12250000000000001,
比特币7月触及12.5万美元,rq1_m05_s0,12,28.0,0.1165,0.24500000000000002,-0.1285,
比特币7月触及12.5万美元,rq1_m05_s0,13,37.0,0.1135,0.23174999999999998,-0.11824999999999998,
比特币7月触及12.5万美元,rq1_m05_s0,14,42.0,0.1,0.20875,-0.10874999999999999,
比特币7月触及12.5万美元,rq1_m05_s0,15,44.0,0.09105263157894737,0.19605263157894737,-0.105,
比特币7月触及12.5万美元,rq1_m05_s0,16,47.0,0.0775,0.192,-0.1145,
比特币7月触及12.5万美元,rq1_m05_s0,17,50.0,0.065,0.19,-0.125,
比特币7月触及12.5万美元,rq1_m05_s0,18,51.0,0.05700000000000001,0.19,-0.133,
比特币7月触及12.5万美元,rq1_m05_s0,19,52.0,0.05,0.19,-0.14,
2025年底比特币高于10万美元,rq1_m06_s0,0,3.0,0.5285,0.5465000000000001,-0.018000000000000127,
2025年底比特币高于10万美元,rq1_m06_s0,1,5.0,0.5255,0.5574999999999999,-0.03199999999999992,
2025年底比特币高于10万美元,rq1_m06_s0,2,8.0,0.5115000000000001,0.5650000000000001,-0.05349999999999999,
2025年底比特币高于10万美元,rq1_m06_s0,3,8.0,0.502,0.58,-0.07799999999999996,
2025年底比特币高于10万美元,rq1_m06_s0,4,11.0,0.491,0.5822499999999999,-0.09124999999999994,
