series,config,market_title,cum_trades,trade_progress,yes_price,truth,tick,ts,volume,slug,real_cum_trades,market,frac,yes_mid,module
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,0.0,0.0,0.5227973627936308,0.0,,2025-08-23 15:44:05+00:00,4070.3140299999995,will-ethereum-reach-5000-in-august-614-348-169-974-494,38.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,1.0506329113924051,0.012658227848101266,0.5724675479274447,0.0,,2025-08-24 00:42:17+00:00,18958.192781,will-ethereum-reach-5000-in-august-614-348-169-974-494,75.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,2.1012658227848102,0.02531645569620253,0.5934139834719115,0.0,,2025-08-24 04:38:07+00:00,24638.476746,will-ethereum-reach-5000-in-august-614-348-169-974-494,112.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,3.151898734177215,0.0379746835443038,0.5712806430770437,0.0,,2025-08-24 10:23:07+00:00,2815.135575,will-ethereum-reach-5000-in-august-614-348-169-974-494,150.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,4.2025316455696204,0.05063291139240506,0.5226302507622532,0.0,,2025-08-24 13:19:31+00:00,12728.93505,will-ethereum-reach-5000-in-august-614-348-169-974-494,187.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,5.253164556962026,0.06329113924050633,0.5903136392816484,0.0,,2025-08-24 15:44:23+00:00,5475.4013,will-ethereum-reach-5000-in-august-614-348-169-974-494,224.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,6.30379746835443,0.0759493670886076,0.7537437217322847,0.0,,2025-08-24 17:55:57+00:00,38166.844438,will-ethereum-reach-5000-in-august-614-348-169-974-494,262.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,7.3544303797468356,0.08860759493670886,0.842218194428435,0.0,,2025-08-24 18:42:39+00:00,10297.693126999999,will-ethereum-reach-5000-in-august-614-348-169-974-494,299.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,8.405063291139241,0.10126582278481013,0.849119143502752,0.0,,2025-08-24 19:35:41+00:00,8050.274205000001,will-ethereum-reach-5000-in-august-614-348-169-974-494,336.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,9.455696202531644,0.11392405063291139,0.6402732441216012,0.0,,2025-08-24 19:40:29+00:00,5382.86497,will-ethereum-reach-5000-in-august-614-348-169-974-494,374.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,10.506329113924052,0.12658227848101267,0.6686313513513514,0.0,,2025-08-24 19:41:25+00:00,2278.194328,will-ethereum-reach-5000-in-august-614-348-169-974-494,411.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,11.556962025316455,0.13924050632911392,0.6565823409654216,0.0,,2025-08-24 19:56:39+00:00,4599.057352,will-ethereum-reach-5000-in-august-614-348-169-974-494,448.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,12.60759493670886,0.1518987341772152,0.6051432277210502,0.0,,2025-08-24 20:20:23+00:00,4704.459718,will-ethereum-reach-5000-in-august-614-348-169-974-494,486.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,13.658227848101266,0.16455696202531644,0.6181861430342717,0.0,,2025-08-24 22:29:51+00:00,9465.281699,will-ethereum-reach-5000-in-august-614-348-169-974-494,523.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,14.708860759493671,0.17721518987341772,0.5583425563096166,0.0,,2025-08-25 00:47:13+00:00,4540.786516,will-ethereum-reach-5000-in-august-614-348-169-974-494,560.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,15.759493670886076,0.189873417721519,0.5523873002572803,0.0,,2025-08-25 04:17:13+00:00,4135.965771,will-ethereum-reach-5000-in-august-614-348-169-974-494,598.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,16.810126582278482,0.20253164556962025,0.4973958622295902,0.0,,2025-08-25 05:51:37+00:00,10563.237603,will-ethereum-reach-5000-in-august-614-348-169-974-494,635.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,17.860759493670887,0.21518987341772153,0.4007727821965107,0.0,,2025-08-25 08:11:49+00:00,4717.378058,will-ethereum-reach-5000-in-august-614-348-169-974-494,672.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,18.91139240506329,0.22784810126582278,0.3103122206757822,0.0,,2025-08-25 10:53:11+00:00,12314.717057,will-ethereum-reach-5000-in-august-614-348-169-974-494,709.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,19.962025316455698,0.24050632911392406,0.3171417505911629,0.0,,2025-08-25 13:05:03+00:00,5444.264257000001,will-ethereum-reach-5000-in-august-614-348-169-974-494,747.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,21.012658227848103,0.25316455696202533,0.3829455659070396,0.0,,2025-08-25 14:49:45+00:00,4929.144344,will-ethereum-reach-5000-in-august-614-348-169-974-494,784.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,22.063291139240505,0.26582278481012656,0.35778901423899684,0.0,,2025-08-25 16:44:27+00:00,3914.874974,will-ethereum-reach-5000-in-august-614-348-169-974-494,821.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,23.11392405063291,0.27848101265822783,0.29920959826983007,0.0,,2025-08-25 19:35:55+00:00,5229.771823,will-ethereum-reach-5000-in-august-614-348-169-974-494,859.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,24.164556962025316,0.2911392405063291,0.14301020287663463,0.0,,2025-08-25 21:02:01+00:00,2002.313005,will-ethereum-reach-5000-in-august-614-348-169-974-494,896.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,25.21518987341772,0.3037974683544304,0.1363078293936497,0.0,,2025-08-25 22:21:55+00:00,1518.342646,will-ethereum-reach-5000-in-august-614-348-169-974-494,933.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,26.26582278481013,0.31645569620253167,0.13866770880714135,0.0,,2025-08-26 00:25:35+00:00,3908.3073449999997,will-ethereum-reach-5000-in-august-614-348-169-974-494,971.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,27.31645569620253,0.3291139240506329,0.12202324857790726,0.0,,2025-08-26 02:21:07+00:00,1353.974677,will-ethereum-reach-5000-in-august-614-348-169-974-494,1008.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,28.367088607594937,0.34177215189873417,0.1451915416754235,0.0,,2025-08-26 04:09:47+00:00,897.9064030000001,will-ethereum-reach-5000-in-august-614-348-169-974-494,1045.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,29.417721518987342,0.35443037974683544,0.15262450490118204,0.0,,2025-08-26 06:43:57+00:00,908.4307140000001,will-ethereum-reach-5000-in-august-614-348-169-974-494,1083.0,,,,
真实市场价格,c4_ethereum_natural_s0,以太坊 5000 美元,30.468354430379748,0.3670886075949367,0.14296917626746133,0.0,,2025-08-26 09:02:51+00:00,2033.771193,will-ethereum-reach-5000-in-august-614-348-169-974-494,1120.0,,,,
