市场,决策轮数,tick,累积成交笔数,平均信念,模拟市场价格,差距
以太坊 5000 美元,50,40,117.0,0.0631,0.18,-0.11689999999999999
以太坊 5000 美元,50,41,120.0,0.05800000000000001,0.18,-0.12199999999999998
以太坊 5000 美元,50,42,122.0,0.052500000000000005,0.18,-0.1275
以太坊 5000 美元,50,43,134.0,0.05,0.164,-0.114
以太坊 5000 美元,50,44,137.0,0.0465,0.15,-0.1035
以太坊 5000 美元,50,45,139.0,0.04263157894736842,0.1,-0.05736842105263158
以太坊 5000 美元,50,46,139.0,0.038,0.098,-0.060000000000000005
以太坊 5000 美元,50,47,144.0,0.034999999999999996,0.08499999999999999,-0.049999999999999996
以太坊 5000 美元,50,48,148.0,0.03368421052631579,0.07605263157894737,-0.04236842105263158
以太坊 5000 美元,50,49,149.0,0.03025,0.07,-0.03975000000000001
以太坊 5000 美元,100,0,1.0,0.5315,0.5770000000000001,-0.045500000000000096
以太坊 5000 美元,100,1,3.0,0.5045,0.5800000000000001,-0.07550000000000012
以太坊 5000 美元,100,2,3.0,0.4965,0.5845,-0.08800000000000002
以太坊 5000 美元,100,3,3.0,0.49450000000000005,0.585,-0.09049999999999991
以太坊 5000 美元,100,4,6.0,0.4925,0.585,-0.09249999999999997
以太坊 5000 美元,100,5,7.0,0.49444444444444446,0.585,-0.0905555555555555
以太坊 5000 美元,100,6,7.0,0.48250000000000004,0.585,-0.10249999999999992
以太坊 5000 美元,100,7,19.0,0.4845,0.5785,-0.09400000000000003
以太坊 5000 美元,100,8,23.0,0.47800000000000004,0.541,-0.063
以太坊 5000 美元,100,9,24.0,0.421,0.57225,-0.15125000000000005
以太坊 5000 美元,100,10,24.0,0.42684210526315786,0.5647368421052632,-0.13789473684210535
以太坊 5000 美元,100,11,27.0,0.4095,0.555,-0.14550000000000007
以太坊 5000 美元,100,12,34.0,0.354,0.552,-0.19800000000000006
以太坊 5000 美元,100,13,34.0,0.3185,0.55,-0.23150000000000004
以太坊 5000 美元,100,14,36.0,0.2815,0.55,-0.26850000000000007
以太坊 5000 美元,100,15,38.0,0.26549999999999996,0.55,-0.2845000000000001
以太坊 5000 美元,100,16,39.0,0.2585,0.55,-0.29150000000000004
以太坊 5000 美元,100,17,40.0,0.2431578947368421,0.55,-0.3068421052631579
以太坊 5000 美元,100,18,42.0,0.244,0.55,-0.30600000000000005
以太坊 5000 美元,100,19,43.0,0.24300000000000002,0.55,-0.30700000000000005
以太坊 5000 美元,100,20,44.0,0.22800000000000004,0.55,-0.322
以太坊 5000 美元,100,21,45.0,0.23049999999999998,0.48600000000000004,-0.25550000000000006
以太坊 5000 美元,100,22,48.0,0.2185,0.47000000000000003,-0.25150000000000006
以太坊 5000 美元,100,23,51.0,0.149,0.45150000000000007,-0.3025000000000001
以太坊 5000 美元,100,24,55.0,0.10700000000000001,0.1,0.007000000000000006
以太坊 5000 美元,100,25,58.0,0.099,0.096,0.0030000000000000027
以太坊 5000 美元,100,26,62.0,0.091,0.1,-0.009000000000000008
以太坊 5000 美元,100,27,67.0,0.092,0.098,-0.006000000000000005
