series,config,market,tick,frac,yes_mid,truth,cum_trades,trade_progress
10轮,c3_ethereum_t10_s0,ethereum,0,0.0,0.5800000000000001,0.0,0.0,0.0
10轮,c3_ethereum_t10_s0,ethereum,0,0.0,0.5800000000000001,0.0,3.0,0.10714285714285714
10轮,c3_ethereum_t10_s0,ethereum,1,0.1111111111111111,0.5800000000000001,0.0,6.0,0.21428571428571427
10轮,c3_ethereum_t10_s0,ethereum,2,0.2222222222222222,0.595,0.0,7.0,0.25
10轮,c3_ethereum_t10_s0,ethereum,3,0.3333333333333333,0.595,0.0,8.0,0.2857142857142857
10轮,c3_ethereum_t10_s0,ethereum,4,0.4444444444444444,0.595,0.0,9.0,0.32142857142857145
10轮,c3_ethereum_t10_s0,ethereum,5,0.5555555555555556,0.595,0.0,15.0,0.5357142857142857
10轮,c3_ethereum_t10_s0,ethereum,6,0.6666666666666666,0.585,0.0,18.0,0.6428571428571429
10轮,c3_ethereum_t10_s0,ethereum,7,0.7777777777777778,0.56,0.0,22.0,0.7857142857142857
10轮,c3_ethereum_t10_s0,ethereum,8,0.8888888888888888,0.5549999999999999,0.0,24.0,0.8571428571428571
10轮,c3_ethereum_t10_s0,ethereum,9,1.0,0.525,0.0,28.0,1.0
20轮,c3_ethereum_t20_s0,ethereum,0,0.0,0.575,0.0,0.0,0.0
20轮,c3_ethereum_t20_s0,ethereum,0,0.0,0.575,0.0,2.0,0.03508771929824561
20轮,c3_ethereum_t20_s0,ethereum,1,0.05263157894736842,0.585,0.0,2.0,0.03508771929824561
20轮,c3_ethereum_t20_s0,ethereum,2,0.10526315789473684,0.585,0.0,3.0,0.05263157894736842
20轮,c3_ethereum_t20_s0,ethereum,3,0.15789473684210525,0.61,0.0,10.0,0.17543859649122806
20轮,c3_ethereum_t20_s0,ethereum,4,0.21052631578947367,0.61,0.0,11.0,0.19298245614035087
20轮,c3_ethereum_t20_s0,ethereum,5,0.2631578947368421,0.58,0.0,12.0,0.21052631578947367
20轮,c3_ethereum_t20_s0,ethereum,6,0.3157894736842105,0.595,0.0,14.0,0.24561403508771928
20轮,c3_ethereum_t20_s0,ethereum,7,0.3684210526315789,0.595,0.0,16.0,0.2807017543859649
20轮,c3_ethereum_t20_s0,ethereum,8,0.42105263157894735,0.595,0.0,19.0,0.3333333333333333
20轮,c3_ethereum_t20_s0,ethereum,9,0.47368421052631576,0.595,0.0,23.0,0.40350877192982454
20轮,c3_ethereum_t20_s0,ethereum,10,0.5263157894736842,0.59,0.0,28.0,0.49122807017543857
20轮,c3_ethereum_t20_s0,ethereum,11,0.5789473684210527,0.59,0.0,29.0,0.5087719298245614
20轮,c3_ethereum_t20_s0,ethereum,12,0.631578947368421,0.59,0.0,33.0,0.5789473684210527
20轮,c3_ethereum_t20_s0,ethereum,13,0.6842105263157895,0.585,0.0,38.0,0.6666666666666666
20轮,c3_ethereum_t20_s0,ethereum,14,0.7368421052631579,0.58,0.0,41.0,0.7192982456140351
20轮,c3_ethereum_t20_s0,ethereum,15,0.7894736842105263,0.585,0.0,45.0,0.7894736842105263
20轮,c3_ethereum_t20_s0,ethereum,16,0.8421052631578947,0.595,0.0,49.0,0.8596491228070176
20轮,c3_ethereum_t20_s0,ethereum,17,0.8947368421052632,0.565,0.0,52.0,0.9122807017543859
20轮,c3_ethereum_t20_s0,ethereum,18,0.9473684210526315,0.565,0.0,53.0,0.9298245614035088
20轮,c3_ethereum_t20_s0,ethereum,19,1.0,0.545,0.0,57.0,1.0
50轮,c3_ethereum_t50_s0,ethereum,0,0.0,0.585,0.0,0.0,0.0
50轮,c3_ethereum_t50_s0,ethereum,0,0.0,0.585,0.0,2.0,0.013422818791946308
50轮,c3_ethereum_t50_s0,ethereum,1,0.02040816326530612,0.585,0.0,5.0,0.03355704697986577
50轮,c3_ethereum_t50_s0,ethereum,2,0.04081632653061224,0.595,0.0,11.0,0.0738255033557047
50轮,c3_ethereum_t50_s0,ethereum,3,0.061224489795918366,0.595,0.0,15.0,0.10067114093959731
50轮,c3_ethereum_t50_s0,ethereum,4,0.08163265306122448,0.6,0.0,22.0,0.1476510067114094
50轮,c3_ethereum_t50_s0,ethereum,5,0.10204081632653061,0.6,0.0,23.0,0.15436241610738255
50轮,c3_ethereum_t50_s0,ethereum,6,0.12244897959183673,0.6,0.0,24.0,0.1610738255033557
