series,config,market,tick,frac,yes_mid,truth,market_title,ts,volume,slug
rq1_m01_s0,rq1_m01_s0,robotaxi,0.0,0.0,0.68,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,1.0,0.05263157894736842,0.68,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,2.0,0.10526315789473684,0.68,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,3.0,0.15789473684210525,0.71,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,4.0,0.21052631578947367,0.71,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,5.0,0.2631578947368421,0.72,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,6.0,0.3157894736842105,0.72,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,7.0,0.3684210526315789,0.75,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,8.0,0.42105263157894735,0.75,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,9.0,0.47368421052631576,0.785,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,10.0,0.5263157894736842,0.78,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,11.0,0.5789473684210527,0.785,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,12.0,0.631578947368421,0.78,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,13.0,0.6842105263157895,0.615,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,14.0,0.7368421052631579,0.615,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,15.0,0.7894736842105263,0.605,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,16.0,0.8421052631578947,0.6,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,17.0,0.8947368421052632,0.6,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,18.0,0.9473684210526315,0.6,1.0,,,,
rq1_m01_s0,rq1_m01_s0,robotaxi,19.0,1.0,0.6,1.0,,,,
真实市场YES成交价,rq1_m01_s0,,0.0,0.0,0.6421762967737552,1.0,特斯拉10月底前推出无监督FSD,2026-01-23 18:18:30+00:00,2560.745366,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
真实市场YES成交价,rq1_m01_s0,,0.24050632911392406,0.012658227848101266,0.6913296985857619,1.0,特斯拉10月底前推出无监督FSD,2026-01-23 22:04:52+00:00,6738.7188,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
真实市场YES成交价,rq1_m01_s0,,0.4810126582278481,0.02531645569620253,0.6303621418818467,1.0,特斯拉10月底前推出无监督FSD,2026-01-24 06:33:18+00:00,18482.979541,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
真实市场YES成交价,rq1_m01_s0,,0.7215189873417722,0.0379746835443038,0.6222993009731985,1.0,特斯拉10月底前推出无监督FSD,2026-01-24 11:58:40+00:00,1074.58257,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
真实市场YES成交价,rq1_m01_s0,,0.9620253164556962,0.05063291139240506,0.6336067598207386,1.0,特斯拉10月底前推出无监督FSD,2026-01-24 19:05:38+00:00,2225.7216909999997,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
真实市场YES成交价,rq1_m01_s0,,1.2025316455696204,0.06329113924050633,0.6323571999542839,1.0,特斯拉10月底前推出无监督FSD,2026-01-25 18:02:54+00:00,2015.547511,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
真实市场YES成交价,rq1_m01_s0,,1.4430379746835444,0.0759493670886076,0.5934634544877497,1.0,特斯拉10月底前推出无监督FSD,2026-01-26 02:25:20+00:00,4597.016305,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
真实市场YES成交价,rq1_m01_s0,,1.6835443037974684,0.08860759493670886,0.6113374022747697,1.0,特斯拉10月底前推出无监督FSD,2026-01-27 12:42:11+00:00,1438.4824480000002,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
真实市场YES成交价,rq1_m01_s0,,1.9240506329113924,0.10126582278481013,0.6396582046360367,1.0,特斯拉10月底前推出无监督FSD,2026-01-28 01:54:57+00:00,164.634297,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
