市场,决策轮数,行为模式,占比
以太坊 5000 美元,10,信号反向型,0.05
以太坊 5000 美元,10,信念锚定型,0.2
以太坊 5000 美元,10,激进套利型,0.1
以太坊 5000 美元,10,频繁挂撤型,0.65
以太坊 5000 美元,20,信号反向型,0.15
以太坊 5000 美元,20,信念锚定型,0.25
以太坊 5000 美元,20,激进套利型,0.25
以太坊 5000 美元,20,频繁挂撤型,0.35
以太坊 5000 美元,50,信号反向型,0.3
以太坊 5000 美元,50,信念锚定型,0.1
以太坊 5000 美元,50,激进套利型,0.05
以太坊 5000 美元,50,频繁挂撤型,0.55
以太坊 5000 美元,100,信号反向型,0.4
以太坊 5000 美元,100,信念锚定型,0.3
以太坊 5000 美元,100,激进套利型,0.05
以太坊 5000 美元,100,频繁挂撤型,0.25
特斯拉 Robotaxi,10,信号反向型,0.2
特斯拉 Robotaxi,10,信念锚定型,0.25
特斯拉 Robotaxi,10,激进套利型,0.05
特斯拉 Robotaxi,10,频繁挂撤型,0.5
特斯拉 Robotaxi,20,信号反向型,0.1
特斯拉 Robotaxi,20,信念锚定型,0.1
特斯拉 Robotaxi,20,激进套利型,0.2
特斯拉 Robotaxi,20,频繁挂撤型,0.6
特斯拉 Robotaxi,50,信号反向型,0.2
特斯拉 Robotaxi,50,信念锚定型,0.55
特斯拉 Robotaxi,50,频繁挂撤型,0.25
特斯拉 Robotaxi,100,信号反向型,0.4
特斯拉 Robotaxi,100,信念锚定型,0.4
特斯拉 Robotaxi,100,频繁挂撤型,0.2
