suite,tick,belief_std
c5_robotaxi,0,0.1444909489285763
c5_robotaxi,1,0.12103935717976794
c5_robotaxi,2,0.1206051046437412
c5_robotaxi,3,0.11886440797890857
c5_robotaxi,4,0.11633764153685076
c5_robotaxi,5,0.11099449160945368
c5_robotaxi,6,0.11199248968438996
c5_robotaxi,7,0.11142863065530972
c5_robotaxi,8,0.11104829568548402
c5_robotaxi,9,0.11204233888958187
c5_robotaxi,10,0.11188867676808824
c5_robotaxi,11,0.11201413774912448
c5_robotaxi,12,0.11215344036422387
c5_robotaxi,13,0.11025112355223239
c5_robotaxi,14,0.11003335302305177
c5_robotaxi,15,0.10886100820336286
c5_robotaxi,16,0.10898298407255254
c5_robotaxi,17,0.09726842884863096
c5_robotaxi,18,0.09482532625013147
c5_robotaxi,19,0.08572526151196591
c5_ethereum,0,0.19138523168550234
c5_ethereum,1,0.17712316943211728
c5_ethereum,2,0.17702612452755653
c5_ethereum,3,0.1760289712287434
c5_ethereum,4,0.17565879982685517
c5_ethereum,5,0.1746667864070295
c5_ethereum,6,0.1747519795939326
c5_ethereum,7,0.1709151238589166
c5_ethereum,8,0.17036787977392745
c5_ethereum,9,0.17653024331157663
c5_ethereum,10,0.1766906219356629
c5_ethereum,11,0.177172036900881
c5_ethereum,12,0.19133279333201827
c5_ethereum,13,0.19372540674301142
c5_ethereum,14,0.1964432427723478
c5_ethereum,15,0.19590724349690514
c5_ethereum,16,0.18988244552033984
c5_ethereum,17,0.1850793523539286
c5_ethereum,18,0.1779519345466349
c5_ethereum,19,0.13781760787366082
