market,cluster,pnl
robotaxi,Archetype-C4,2.5912479669112827
robotaxi,Archetype-C2,-0.10344827586206762
robotaxi,Archetype-C1,224.31022456340725
robotaxi,Archetype-C5,-0.18958796025715685
robotaxi,Archetype-C4,28.869565217391255
robotaxi,Archetype-C1,-33.56237247222339
robotaxi,Archetype-C1,0.9275862068965495
robotaxi,Archetype-C4,-0.27377049180324775
robotaxi,Archetype-C3,14.0
robotaxi,Archetype-C2,0.07499999999999929
robotaxi,Archetype-C0,0.09305084745762571
robotaxi,Archetype-C2,-1.2654151854609932
robotaxi,Archetype-C2,-0.8666277614724809
robotaxi,Archetype-C1,-9.93250086856446
robotaxi,Archetype-C0,37.53300749204027
robotaxi,Archetype-C1,-1.4780674665796028
robotaxi,Archetype-C2,7.043112539775308
robotaxi,Archetype-C3,-1.022988505747115
robotaxi,Archetype-C1,-0.46211561931454526
robotaxi,Archetype-C4,18.22763237043182
robotaxi,Archetype-C4,0.0988700564971765
robotaxi,Archetype-C0,-0.1855932203389834
robotaxi,Archetype-C1,-16.15820810063599
robotaxi,Archetype-C1,3.162998790499529
robotaxi,Archetype-C3,-0.3551139684395075
robotaxi,Archetype-C4,1.7500000000000142
robotaxi,Archetype-C1,-0.9741379310344769
robotaxi,Archetype-C2,-0.9660037002775255
robotaxi,Archetype-C2,-0.14999999999999858
robotaxi,Archetype-C0,-0.8676082862523344
robotaxi,Archetype-C1,-13.112670068027228
robotaxi,Archetype-C2,-0.3894398440120206
robotaxi,Archetype-C4,-4.693513183067353
robotaxi,Archetype-C1,-9.774779572188436
robotaxi,Archetype-C1,0.18671927146323242
robotaxi,Archetype-C2,-30.69882354106494
robotaxi,Archetype-C1,51.32758620689674
robotaxi,Archetype-C4,3.3662790697674723
robotaxi,Archetype-C2,-0.6333333333333329
robotaxi,Archetype-C4,-7.7295307860295
robotaxi,Archetype-C4,7.607692307692304
robotaxi,Archetype-C0,21.25703905358023
robotaxi,Archetype-C0,-2.0549557237786757
robotaxi,Archetype-C1,-0.13551720689655156
robotaxi,Archetype-C4,-0.5072179308453499
robotaxi,Archetype-C1,-0.07796610169491203
robotaxi,Archetype-C0,0.5950000000000024
robotaxi,Archetype-C0,3.0
robotaxi,Archetype-C1,2.4632300558516818
robotaxi,Archetype-C3,6.7777777777777715
robotaxi,Archetype-C3,15.5
robotaxi,Archetype-C3,-0.20616014026884955
robotaxi,Archetype-C1,-3.512039641943744
robotaxi,Archetype-C1,1.3000000000000043
robotaxi,Archetype-C1,-4.324801495528817
robotaxi,Archetype-C1,27.70757343440323
robotaxi,Archetype-C4,1.4575163398692723
robotaxi,Archetype-C5,-50.898305084745516
robotaxi,Archetype-C1,-82.7499665793905
robotaxi,Archetype-C0,1.8103448275862206
robotaxi,Archetype-C0,-0.21495563442768528
robotaxi,Archetype-C1,-4.717798423236545
robotaxi,Archetype-C3,-0.5843006395266421
robotaxi,Archetype-C4,15.138867488443736
robotaxi,Archetype-C1,-0.5324998323289023
robotaxi,Archetype-C3,5.777380952380952
robotaxi,Archetype-C3,-0.47490196078431346
robotaxi,Archetype-C1,1.9984864596588068
robotaxi,Archetype-C1,0.5903772227361515
robotaxi,Archetype-C1,19.723169786747803
robotaxi,Archetype-C4,1.9444444444444429
robotaxi,Archetype-C0,1.7038958333333323
robotaxi,Archetype-C1,-0.11952074810052515
robotaxi,Archetype-C3,-0.8620689655172384
robotaxi,Archetype-C4,5.4641144091140745
robotaxi,Archetype-C0,95.96837944664003
robotaxi,Archetype-C4,2.200000000000017
robotaxi,Archetype-C1,26.60187343358416
robotaxi,Archetype-C3,0.9608395814536301
robotaxi,Archetype-C3,14.188596491228111
robotaxi,Archetype-C3,2.6000000000000085
robotaxi,Archetype-C3,4.783172413793103
robotaxi,Archetype-C4,3.555555555555557
robotaxi,Archetype-C4,0.45000000000000284
robotaxi,Archetype-C1,0.6879010025062655
robotaxi,Archetype-C4,3.5409090909090963
robotaxi,Archetype-C1,-31.683552472372867
robotaxi,Archetype-C4,0.6186044492017491
robotaxi,Archetype-C4,-0.8334836260085439
robotaxi,Archetype-C0,4.220295983086686
robotaxi,Archetype-C0,2.4499999999999886
robotaxi,Archetype-C0,-0.46324643137452526
robotaxi,Archetype-C0,222.94539929818075
robotaxi,Archetype-C1,23.68854277586206
robotaxi,Archetype-C3,1.5535714285714235
robotaxi,Archetype-C5,56.129892511395155
robotaxi,Archetype-C4,0.46988709314817356
robotaxi,Archetype-C4,-340.32008883418894
robotaxi,Archetype-C4,-0.8434580823175928
robotaxi,Archetype-C1,0.75
robotaxi,Archetype-C0,9.633224637681167
robotaxi,Archetype-C3,0.5278947368421054
robotaxi,Archetype-C3,0.4368734335839548
robotaxi,Archetype-C1,6.300000000000011
robotaxi,Archetype-C1,0.6984838250000003
robotaxi,Archetype-C3,1.7306641604009982
robotaxi,Archetype-C4,55.71428571428555
robotaxi,Archetype-C1,9.956521739130608
robotaxi,Archetype-C4,8.875
robotaxi,Archetype-C1,3.244186046511686
robotaxi,Archetype-C4,-0.6536725955203977
robotaxi,Archetype-C4,1.6361528822054936
robotaxi,Archetype-C1,0.3146511627906996
robotaxi,Archetype-C1,5.576271186440636
robotaxi,Archetype-C4,-0.8873263888888872
robotaxi,Archetype-C2,-0.6185605364873208
robotaxi,Archetype-C1,22.406796805566955
robotaxi,Archetype-C0,5.150438596491227
robotaxi,Archetype-C1,16.521876790875126
robotaxi,Archetype-C3,0.07318181818182268
robotaxi,Archetype-C4,-0.6313599376222356
robotaxi,Archetype-C3,0.8093671416040085
robotaxi,Archetype-C0,-0.5120748299319757
robotaxi,Archetype-C0,107.56477959999756
robotaxi,Archetype-C0,2.4107142857142634
robotaxi,Archetype-C0,0.9648552631578937
robotaxi,Archetype-C4,2.2167293233082574
robotaxi,Archetype-C4,9.649999999999977
robotaxi,Archetype-C4,1.5825019306425716
robotaxi,Archetype-C1,0.4824561403508483
robotaxi,Archetype-C4,-54.33504724316117
robotaxi,Archetype-C1,6.9216332762847514
robotaxi,Archetype-C1,5.5
robotaxi,Archetype-C0,0.4385964912280542
robotaxi,Archetype-C0,19.194677417006915
robotaxi,Archetype-C1,0.1663847117794468
robotaxi,Archetype-C4,4.125
robotaxi,Archetype-C3,1.3250000000000028
robotaxi,Archetype-C3,0.07000000000000206
robotaxi,Archetype-C2,2.2214285714285467
robotaxi,Archetype-C0,0.0
robotaxi,Archetype-C0,43.56390531031957
robotaxi,Archetype-C3,-2.198926745698259
robotaxi,Archetype-C0,0.22727272727272663
robotaxi,Archetype-C1,1.1099999999999994
robotaxi,Archetype-C1,20.78571428571422
robotaxi,Archetype-C2,0.32771929824561497
robotaxi,Archetype-C4,2.5900000000000176
robotaxi,Archetype-C4,8.819827586206856
robotaxi,Archetype-C1,30.0
robotaxi,Archetype-C0,2.8318317345086825
robotaxi,Archetype-C1,8.910150375939821
robotaxi,Archetype-C0,3.049999999999997
robotaxi,Archetype-C2,0.030000000000001137
robotaxi,Archetype-C1,0.2707142857142859
robotaxi,Archetype-C0,0.594564699248119
robotaxi,Archetype-C1,40.0
robotaxi,Archetype-C5,0.0600000000000005
robotaxi,Archetype-C0,2.7857644110275714
robotaxi,Archetype-C4,7.25
robotaxi,Archetype-C1,20.995904041389167
robotaxi,Archetype-C0,21.211168644762722
robotaxi,Archetype-C1,0.1750000000000007
robotaxi,Archetype-C2,0.26758202323991576
robotaxi,Archetype-C5,14.173160173160568
robotaxi,Archetype-C3,0.1999999999999993
robotaxi,Archetype-C1,6.499999999999972
robotaxi,Archetype-C0,-41.15609287193183
robotaxi,Archetype-C3,4.327586206896541
robotaxi,Archetype-C3,7.75
robotaxi,Archetype-C2,0.049999999999998934
robotaxi,Archetype-C0,0.02499999999999858
robotaxi,Archetype-C1,-0.32947404525212676
robotaxi,Archetype-C2,0.03671641690804606
robotaxi,Archetype-C4,0.0
robotaxi,Archetype-C0,-5.030705009276431
robotaxi,Archetype-C1,0.22413793103447688
robotaxi,Archetype-C5,-14.244976076555076
robotaxi,Archetype-C2,-1.6491633981505487
robotaxi,Archetype-C1,-0.3000000000000007
robotaxi,Archetype-C0,-5.981875209015925
robotaxi,Archetype-C3,-0.9395090590298061
robotaxi,Archetype-C5,-1.1964785914365752
robotaxi,Archetype-C5,-3.0535087719298133
robotaxi,Archetype-C0,-4.973436797141858
robotaxi,Archetype-C1,1.2205081669691538
robotaxi,Archetype-C4,-12.22819523252727
robotaxi,Archetype-C3,0.178103448275861
robotaxi,Archetype-C0,-0.11245762711864415
robotaxi,Archetype-C0,0.06305084745762812
robotaxi,Archetype-C1,0.0014611338398609064
robotaxi,Archetype-C4,-3.346562184024293
robotaxi,Archetype-C1,0.0
robotaxi,Archetype-C2,-0.07130333138515255
robotaxi,Archetype-C4,0.47619047619042476
robotaxi,Archetype-C0,58.869047619047706
robotaxi,Archetype-C4,1.904761904761898
robotaxi,Archetype-C1,18.36206896551721
robotaxi,Archetype-C3,1.0999998899999994
robotaxi,Archetype-C3,-0.11206896551723844
robotaxi,Archetype-C3,0.0
robotaxi,Archetype-C3,0.0
