market,n_ticks,pnl
robotaxi,10,7.657894736842081
robotaxi,10,-0.02586206896552312
robotaxi,10,-3.734826030319624
robotaxi,10,1.1847826086956275
robotaxi,10,0.0
robotaxi,10,0.0
robotaxi,10,7.5
robotaxi,10,-0.02631578947368496
robotaxi,10,-0.9400781589231446
robotaxi,10,0.10366001209922615
robotaxi,10,-0.04385964912280649
robotaxi,10,0.3000000000000007
robotaxi,10,-25.86206896551721
robotaxi,10,0.0
robotaxi,10,56.746551724138044
robotaxi,10,4.5
robotaxi,10,0.44999999999998863
robotaxi,10,0.4500000000000455
robotaxi,10,5.3829787234042215
robotaxi,10,5.85714285714289
robotaxi,10,10.595543013140286
robotaxi,10,0.6999999999999886
robotaxi,10,2.550649220555556
robotaxi,10,0.0
robotaxi,10,0.0
robotaxi,10,0.22500000000000142
robotaxi,10,0.3793103448275801
robotaxi,10,-0.26956521739131745
robotaxi,10,-0.2118644067796609
robotaxi,10,-0.04237288135593076
robotaxi,10,-0.08474576271186507
robotaxi,10,0.6282005048683743
robotaxi,10,0.0
robotaxi,10,0.1800000000000015
robotaxi,10,-0.42372880508474964
robotaxi,10,6.384782608695673
robotaxi,10,7.728260869565247
robotaxi,10,0.3006896551723912
robotaxi,10,-0.40423219241442965
robotaxi,10,-3.3043478260869676
robotaxi,10,12.488372093023258
robotaxi,10,45.97224489795917
robotaxi,10,2.0
robotaxi,10,9.165778374605225
robotaxi,10,0.4499999999999993
robotaxi,10,1.522413793103425
robotaxi,10,1.0957627118643956
robotaxi,10,0.8152542372881371
robotaxi,10,2.25
robotaxi,10,1.3499999999999943
robotaxi,10,0.22500000000000142
robotaxi,10,1.7045454545454533
robotaxi,10,3.7758101725617053
robotaxi,10,0.08499999999999908
robotaxi,10,0.23775510204082195
robotaxi,10,1.3000000000000114
robotaxi,10,0.8928571428571388
robotaxi,10,-0.35999999999999943
robotaxi,10,90.0
robotaxi,10,-0.06422198217387631
robotaxi,20,-20.911578947368298
robotaxi,20,-0.3914095583787116
robotaxi,20,-4.833333333333314
robotaxi,20,-6.508771972456088
robotaxi,20,-0.1917192784562154
robotaxi,20,0.012280701754384893
robotaxi,20,-29.0944680851062
robotaxi,20,0.04736842105263328
robotaxi,20,-1.2010992907801423
robotaxi,20,0.024561403508769786
robotaxi,20,-0.7327782917052108
robotaxi,20,-0.9778985507246318
robotaxi,20,-31.784436729003573
robotaxi,20,0.09999999999999964
robotaxi,20,-44.381561142088685
robotaxi,20,-4.0
robotaxi,20,1.4425531914893668
robotaxi,20,-12.803966437833651
robotaxi,20,-5.948275862069067
robotaxi,20,-7.961282516636402
robotaxi,20,-41.07685492167957
robotaxi,20,-13.559322033898297
robotaxi,20,1.0851987815355812
robotaxi,20,-1.6455000000000002
robotaxi,20,-0.5
robotaxi,20,-0.475725900116144
robotaxi,20,-1.499999999999993
robotaxi,20,0.48812753246895113
robotaxi,20,1.0182949308755767
robotaxi,20,-1.4666666666666686
robotaxi,20,-0.2807017543859658
robotaxi,20,-5.218390804597696
robotaxi,20,-2.6755692937853084
robotaxi,20,0.6399999999999988
robotaxi,20,-5.1517241379310335
robotaxi,20,0.0
robotaxi,20,6.347399605003318
robotaxi,20,-7.060526330000016
robotaxi,20,-0.004761904761904745
robotaxi,20,3.4621204579393066
robotaxi,20,-0.9111111111110972
robotaxi,20,10.83333333333303
robotaxi,20,1.110917874396165
robotaxi,20,6.723214285714221
robotaxi,20,0.07499999999999929
robotaxi,20,7.666871921182235
robotaxi,20,0.0037295638535823628
robotaxi,20,0.26937465553928064
robotaxi,20,3.75
robotaxi,20,0.43128835018579537
robotaxi,20,-0.03448275862069039
robotaxi,20,-0.6666666666666714
robotaxi,20,-14.243735224586544
robotaxi,20,-0.04444444444444429
robotaxi,20,-4.057489791532333
robotaxi,20,5.141133255555559
robotaxi,20,0.23863636363635976
robotaxi,20,-0.5133223883441254
robotaxi,20,14.479232589272215
robotaxi,20,8.176808510638239
robotaxi,50,11.139463278789208
robotaxi,50,0.9998115655657216
robotaxi,50,-1.8993847102789516
robotaxi,50,-1.7486358082410334
robotaxi,50,0.5833335463689373
robotaxi,50,0.3905525293671879
robotaxi,50,11.186495545547587
robotaxi,50,-0.08593517692536423
robotaxi,50,-0.5144557823129237
robotaxi,50,0.12220753154072383
robotaxi,50,0.614973666684195
robotaxi,50,-0.851507052721086
robotaxi,50,42.074040404040716
robotaxi,50,0.32500000000000284
robotaxi,50,43.317110829479134
robotaxi,50,6.703282828282909
robotaxi,50,0.9027695099818516
robotaxi,50,18.256186089570747
robotaxi,50,1.554854864433537
robotaxi,50,3.2811939729374444
robotaxi,50,91.8802129226774
robotaxi,50,24.684813270005122
robotaxi,50,-8.035429284674137
robotaxi,50,1.8525423728813575
robotaxi,50,2.2127717784150924
robotaxi,50,0.9973131148426653
robotaxi,50,9.46951339529798
robotaxi,50,-11.515305737170138
robotaxi,50,3.1896846324593326
robotaxi,50,3.82266286844359
robotaxi,50,0.4866795366795351
robotaxi,50,7.1429943502824855
robotaxi,50,1.3100838622864366
robotaxi,50,1.0302700302702714
robotaxi,50,8.24616718712781
robotaxi,50,22.267204030147695
robotaxi,50,-1.4569377990430326
robotaxi,50,38.5
robotaxi,50,-0.10782059800664356
robotaxi,50,-16.464578277832317
robotaxi,50,-8.055994729907752
robotaxi,50,25.20833333333394
robotaxi,50,0.30000000000001137
robotaxi,50,20.86409441735691
robotaxi,50,0.23025690977443602
robotaxi,50,0.45895989974934537
robotaxi,50,-0.679657503759401
robotaxi,50,0.15858395989975094
robotaxi,50,1.3282978723404284
robotaxi,50,-0.7977123233082608
robotaxi,50,0.001528281911674867
robotaxi,50,0.31271929824562505
robotaxi,50,-43.659420289855234
robotaxi,50,-0.36304347826086847
robotaxi,50,-1.9148936170212778
robotaxi,50,0.25
robotaxi,50,0.11357940305308034
robotaxi,50,-0.8343297101449263
robotaxi,50,9.770598229112693
robotaxi,50,-2.813653199274313
robotaxi,100,-65.97224537301463
robotaxi,100,5.340789473684197
robotaxi,100,-4.255319148936167
robotaxi,100,19.481266194790237
robotaxi,100,1.690570175438598
robotaxi,100,1.2404339912280662
robotaxi,100,-37.581632653061206
robotaxi,100,0.4556356408262019
robotaxi,100,-0.4057326752484496
robotaxi,100,4.039618644067787
robotaxi,100,-1.8442340015661447
robotaxi,100,-4.51560634302313
robotaxi,100,23.027272877446194
robotaxi,100,0.01756499675141221
robotaxi,100,-143.74907913548032
robotaxi,100,-37.5409700276748
robotaxi,100,8.037898724082936
robotaxi,100,-48.190518789720954
robotaxi,100,83.88360641242275
robotaxi,100,31.02596230656127
robotaxi,100,-2.8543800447891954
robotaxi,100,4.139565217391294
robotaxi,100,-22.954637017060577
robotaxi,100,0.7451431911163056
robotaxi,100,1.2769491525423753
robotaxi,100,-0.672307692307692
robotaxi,100,3.8445957039802607
robotaxi,100,-46.75676225716924
robotaxi,100,3.0406630448979612
robotaxi,100,2.236158192090393
robotaxi,100,0.40000000000000036
robotaxi,100,5.359245999999999
robotaxi,100,-2.1734765979599366
robotaxi,100,-0.7380952380952355
robotaxi,100,4.653048529248331
robotaxi,100,-9.851134632726371
robotaxi,100,-5.725218848947634
robotaxi,100,-3.2570160753992923
robotaxi,100,-4.068997832694595
robotaxi,100,-42.788198763016936
robotaxi,100,5.290754954748593
robotaxi,100,40.06125682673064
robotaxi,100,4.06531850353889
