base,rounds,frac,yes_mid
robotaxi,10,0.0,0.47333333333333333
robotaxi,10,0.1111111111111111,0.49666666666666665
robotaxi,10,0.2222222222222222,0.46166666666666667
robotaxi,10,0.3333333333333333,0.4666666666666666
robotaxi,10,0.4444444444444444,0.47333333333333333
robotaxi,10,0.5555555555555556,0.45333333333333337
robotaxi,10,0.6666666666666666,0.4633333333333334
robotaxi,10,0.7777777777777777,0.4283333333333333
robotaxi,10,0.8888888888888888,0.43333333333333335
robotaxi,10,1.0,0.45
robotaxi,20,0.0,0.45999999999999996
robotaxi,20,0.05263157894736842,0.49666666666666665
robotaxi,20,0.10526315789473684,0.4716666666666667
robotaxi,20,0.15789473684210525,0.48
robotaxi,20,0.21052631578947367,0.4549999999999999
robotaxi,20,0.2631578947368421,0.44166666666666665
robotaxi,20,0.3157894736842105,0.44
robotaxi,20,0.3684210526315789,0.45166666666666666
robotaxi,20,0.42105263157894735,0.4466666666666667
robotaxi,20,0.47368421052631576,0.4466666666666667
robotaxi,20,0.5263157894736842,0.4483333333333333
robotaxi,20,0.5789473684210527,0.4483333333333333
robotaxi,20,0.631578947368421,0.44500000000000006
robotaxi,20,0.6842105263157894,0.4416666666666667
robotaxi,20,0.7368421052631579,0.4333333333333334
robotaxi,20,0.7894736842105263,0.4416666666666667
robotaxi,20,0.8421052631578947,0.4416666666666667
robotaxi,20,0.894736842105263,0.4566666666666667
robotaxi,20,0.9473684210526315,0.4566666666666667
robotaxi,20,1.0,0.44
robotaxi,50,0.0,0.45999999999999996
robotaxi,50,0.02040816326530612,0.49499999999999994
robotaxi,50,0.04081632653061224,0.48500000000000004
robotaxi,50,0.061224489795918366,0.4666666666666666
robotaxi,50,0.08163265306122448,0.47333333333333333
robotaxi,50,0.1020408163265306,0.4716666666666667
robotaxi,50,0.12244897959183673,0.4716666666666667
robotaxi,50,0.14285714285714285,0.455
robotaxi,50,0.16326530612244897,0.455
robotaxi,50,0.18367346938775508,0.43500000000000005
robotaxi,50,0.2040816326530612,0.4316666666666667
robotaxi,50,0.22448979591836732,0.4483333333333333
robotaxi,50,0.24489795918367346,0.4216666666666667
robotaxi,50,0.26530612244897955,0.42500000000000004
robotaxi,50,0.2857142857142857,0.4266666666666667
robotaxi,50,0.3061224489795918,0.42333333333333334
robotaxi,50,0.32653061224489793,0.42333333333333334
robotaxi,50,0.3469387755102041,0.42333333333333334
robotaxi,50,0.36734693877551017,0.42333333333333334
robotaxi,50,0.3877551020408163,0.42333333333333334
robotaxi,50,0.4081632653061224,0.42333333333333334
robotaxi,50,0.42857142857142855,0.42333333333333334
robotaxi,50,0.44897959183673464,0.42333333333333334
robotaxi,50,0.4693877551020408,0.42333333333333334
robotaxi,50,0.4897959183673469,0.43333333333333335
robotaxi,50,0.5102040816326531,0.43333333333333335
robotaxi,50,0.5306122448979591,0.4316666666666667
robotaxi,50,0.5510204081632653,0.4316666666666667
robotaxi,50,0.5714285714285714,0.4316666666666667
robotaxi,50,0.5918367346938775,0.43333333333333335
robotaxi,50,0.6122448979591836,0.43333333333333335
robotaxi,50,0.6326530612244897,0.4316666666666667
robotaxi,50,0.6530612244897959,0.4316666666666667
robotaxi,50,0.673469387755102,0.4316666666666667
robotaxi,50,0.6938775510204082,0.4316666666666667
robotaxi,50,0.7142857142857142,0.4316666666666667
robotaxi,50,0.7346938775510203,0.4316666666666667
robotaxi,50,0.7551020408163265,0.4316666666666667
robotaxi,50,0.7755102040816326,0.43333333333333335
robotaxi,50,0.7959183673469387,0.43333333333333335
robotaxi,50,0.8163265306122448,0.43333333333333335
robotaxi,50,0.836734693877551,0.4316666666666667
robotaxi,50,0.8571428571428571,0.4316666666666667
robotaxi,50,0.8775510204081632,0.4316666666666667
robotaxi,50,0.8979591836734693,0.43500000000000005
robotaxi,50,0.9183673469387754,0.43500000000000005
robotaxi,50,0.9387755102040816,0.43500000000000005
robotaxi,50,0.9591836734693877,0.4266666666666667
robotaxi,50,0.9795918367346939,0.4316666666666667
robotaxi,50,1.0,0.4283333333333334
robotaxi,100,0.0,0.4716666666666667
robotaxi,100,0.010101010101010102,0.5
robotaxi,100,0.020202020202020204,0.4883333333333333
robotaxi,100,0.030303030303030304,0.48500000000000004
robotaxi,100,0.04040404040404041,0.4716666666666667
robotaxi,100,0.05050505050505051,0.4716666666666667
robotaxi,100,0.06060606060606061,0.48333333333333334
robotaxi,100,0.07070707070707072,0.4766666666666666
robotaxi,100,0.08080808080808081,0.4749999999999999
robotaxi,100,0.09090909090909091,0.45999999999999996
robotaxi,100,0.10101010101010102,0.4533333333333333
robotaxi,100,0.11111111111111112,0.455
robotaxi,100,0.12121212121212122,0.44333333333333336
robotaxi,100,0.13131313131313133,0.45
robotaxi,100,0.14141414141414144,0.45166666666666666
robotaxi,100,0.15151515151515152,0.45166666666666666
robotaxi,100,0.16161616161616163,0.4483333333333333
robotaxi,100,0.17171717171717174,0.44
robotaxi,100,0.18181818181818182,0.43333333333333335
robotaxi,100,0.19191919191919193,0.44
robotaxi,100,0.20202020202020204,0.4383333333333333
robotaxi,100,0.21212121212121213,0.4383333333333333
robotaxi,100,0.22222222222222224,0.4383333333333333
robotaxi,100,0.23232323232323235,0.44333333333333336
robotaxi,100,0.24242424242424243,0.45333333333333337
robotaxi,100,0.25252525252525254,0.44333333333333336
robotaxi,100,0.26262626262626265,0.4483333333333333
robotaxi,100,0.27272727272727276,0.44166666666666665
robotaxi,100,0.2828282828282829,0.44166666666666665
robotaxi,100,0.29292929292929293,0.44166666666666665
robotaxi,100,0.30303030303030304,0.44166666666666665
robotaxi,100,0.31313131313131315,0.44
robotaxi,100,0.32323232323232326,0.43166666666666664
robotaxi,100,0.33333333333333337,0.435
robotaxi,100,0.3434343434343435,0.43
robotaxi,100,0.3535353535353536,0.4283333333333333
robotaxi,100,0.36363636363636365,0.4266666666666667
robotaxi,100,0.37373737373737376,0.4266666666666667
robotaxi,100,0.38383838383838387,0.42500000000000004
robotaxi,100,0.393939393939394,0.42500000000000004
robotaxi,100,0.4040404040404041,0.42500000000000004
robotaxi,100,0.4141414141414142,0.42
robotaxi,100,0.42424242424242425,0.42
robotaxi,100,0.43434343434343436,0.42
robotaxi,100,0.4444444444444445,0.42
robotaxi,100,0.4545454545454546,0.42
robotaxi,100,0.4646464646464647,0.42
robotaxi,100,0.4747474747474748,0.42
robotaxi,100,0.48484848484848486,0.42
robotaxi,100,0.494949494949495,0.42
robotaxi,100,0.5050505050505051,0.42
robotaxi,100,0.5151515151515152,0.42
robotaxi,100,0.5252525252525253,0.4266666666666667
robotaxi,100,0.5353535353535354,0.42333333333333334
robotaxi,100,0.5454545454545455,0.42333333333333334
robotaxi,100,0.5555555555555556,0.425
robotaxi,100,0.5656565656565657,0.425
robotaxi,100,0.5757575757575758,0.425
robotaxi,100,0.5858585858585859,0.42
robotaxi,100,0.595959595959596,0.42
robotaxi,100,0.6060606060606061,0.42
robotaxi,100,0.6161616161616162,0.42
robotaxi,100,0.6262626262626263,0.42
robotaxi,100,0.6363636363636365,0.42
robotaxi,100,0.6464646464646465,0.4283333333333333
robotaxi,100,0.6565656565656566,0.4283333333333333
robotaxi,100,0.6666666666666667,0.4283333333333333
robotaxi,100,0.6767676767676768,0.4283333333333333
robotaxi,100,0.686868686868687,0.4283333333333333
robotaxi,100,0.696969696969697,0.4283333333333333
robotaxi,100,0.7070707070707072,0.42333333333333334
robotaxi,100,0.7171717171717172,0.4266666666666667
robotaxi,100,0.7272727272727273,0.43
robotaxi,100,0.7373737373737375,0.4266666666666667
robotaxi,100,0.7474747474747475,0.4266666666666667
robotaxi,100,0.7575757575757577,0.4183333333333333
robotaxi,100,0.7676767676767677,0.4183333333333333
