market,n_agents,pnl
robotaxi,10,0.0
robotaxi,10,-5.030705009276431
robotaxi,10,0.22413793103447688
robotaxi,10,-14.244976076555076
robotaxi,10,-1.6491633981505487
robotaxi,10,-0.3000000000000007
robotaxi,10,-5.981875209015925
robotaxi,10,-0.9395090590298061
robotaxi,10,-1.1964785914365752
robotaxi,10,-3.0535087719298133
robotaxi,10,-4.973436797141858
robotaxi,10,1.2205081669691538
robotaxi,10,-12.22819523252727
robotaxi,10,0.178103448275861
robotaxi,10,-0.11245762711864415
robotaxi,10,0.06305084745762812
robotaxi,10,0.0014611338398609064
robotaxi,10,-3.346562184024293
robotaxi,10,0.0
robotaxi,10,-0.07130333138515255
robotaxi,10,0.47619047619042476
robotaxi,10,58.869047619047706
robotaxi,10,1.904761904761898
robotaxi,10,18.36206896551721
robotaxi,10,1.0999998899999994
robotaxi,10,-0.11206896551723844
robotaxi,10,0.0
robotaxi,10,0.0
robotaxi,10,2.75
robotaxi,10,0.0
robotaxi,20,0.8823051948052125
robotaxi,20,-0.8268358395989992
robotaxi,20,-3.995622623085609
robotaxi,20,-1.6000000000000227
robotaxi,20,-0.14090909090909065
robotaxi,20,-0.030000000000001137
robotaxi,20,-9.025739423376763
robotaxi,20,-0.20830721003134833
robotaxi,20,-0.5651595744680851
robotaxi,20,-0.7973627249943149
robotaxi,20,0.20000000000000107
robotaxi,20,-1.7257235960144897
robotaxi,20,0.0
robotaxi,20,0.057500000000000995
robotaxi,20,-8.09482758620652
robotaxi,20,-1.0
robotaxi,20,-2.961282516636402
robotaxi,20,-0.6815675552518314
robotaxi,20,-1.6350591950961189
robotaxi,20,-6.20331280788173
robotaxi,20,1.9079944107575102
robotaxi,20,6.042040816326505
robotaxi,20,-7.815271311866837
robotaxi,20,0.48499999999999943
robotaxi,20,1.2076229508196707
robotaxi,20,0.0
robotaxi,20,0.33757062146892736
robotaxi,20,-10.604678873812276
robotaxi,20,-0.0625
robotaxi,20,0.7255172413793076
robotaxi,20,0.19000000000000128
robotaxi,20,0.04999999999999716
robotaxi,20,0.0
robotaxi,20,0.0
robotaxi,20,0.0
robotaxi,20,0.39087499999993724
robotaxi,20,-0.3278688524590052
robotaxi,20,2.5423728813558455
robotaxi,20,-0.12496590909090877
robotaxi,20,-7.3688265306122105
robotaxi,20,0.8835748792270124
robotaxi,20,46.212764670296565
robotaxi,20,1.8297413793103487
robotaxi,20,-1.2391791979950995
robotaxi,20,0.03533251231527146
robotaxi,20,-0.8771929824561369
robotaxi,20,1.1785714285714306
robotaxi,20,-0.20102974828375153
robotaxi,20,0.7743961352657038
robotaxi,20,-1.43503943430116
robotaxi,20,0.2067611336032371
robotaxi,20,0.22222222222221433
robotaxi,20,-12.530304771856436
robotaxi,20,0.0
robotaxi,20,0.5008633980881996
robotaxi,20,0.3499999999999943
robotaxi,20,0.32456140350876694
robotaxi,20,-0.34824468085106197
robotaxi,20,56.120489929860014
robotaxi,20,0.004254096356135051
robotaxi,50,2.953991130820441
robotaxi,50,0.5999999999999943
robotaxi,50,-1.937931034482773
robotaxi,50,8.35714285714289
robotaxi,50,0.5182957393483676
robotaxi,50,0.350877192982459
robotaxi,50,-30.15898187380435
robotaxi,50,0.2536783769769251
robotaxi,50,0.11634199134199008
robotaxi,50,2.242857142857133
robotaxi,50,-0.8161921353907413
robotaxi,50,-0.3180624891384447
robotaxi,50,36.56519636700068
robotaxi,50,0.05938773985321788
robotaxi,50,41.97473404255197
robotaxi,50,11.9841179807147
robotaxi,50,3.1578947368420813
robotaxi,50,3.0
robotaxi,50,8.85714285714289
robotaxi,50,3.0
robotaxi,50,-1.2339693463908556
robotaxi,50,0.2631578947368425
robotaxi,50,-5.5027173913043725
robotaxi,50,-0.3000000000000007
robotaxi,50,4.5
robotaxi,50,-1.703637976929901
robotaxi,50,0.17241379310344485
robotaxi,50,1.0263157894736707
robotaxi,50,2.209269277787911
robotaxi,50,0.07499999999999929
robotaxi,50,3.631578947368382
robotaxi,50,3.0
robotaxi,50,-11.630967791858893
robotaxi,50,0.049999999999998934
robotaxi,50,4.261904761904816
robotaxi,50,0.7911481289430462
robotaxi,50,-5.952036896115374
robotaxi,50,1.2157225225705588
robotaxi,50,0.03448275862069039
robotaxi,50,2.0975609756097526
robotaxi,50,2.047619047619037
robotaxi,50,0.1981676623622235
robotaxi,50,11.491228070175396
robotaxi,50,17.90816024440244
robotaxi,50,-0.07741251325556675
robotaxi,50,0.472413793103442
robotaxi,50,0.26473511364618396
robotaxi,50,3.5406403940886833
robotaxi,50,4.09322032477246
robotaxi,50,15.526315789473529
robotaxi,50,17.299999999999727
robotaxi,50,5.963953488372113
robotaxi,50,-10.051020408163254
robotaxi,50,0.09500000000000064
robotaxi,50,0.8196428571428562
robotaxi,50,0.2850000000000019
robotaxi,50,0.4841830413140755
robotaxi,50,-5.2070393374741
robotaxi,50,0.9500000000000028
robotaxi,50,-0.056967213114752724
robotaxi,50,0.0
robotaxi,50,0.5
robotaxi,50,0.9017857142857117
robotaxi,50,-0.45534320325203126
robotaxi,50,1.1182723675215627
robotaxi,50,2.5
robotaxi,50,3.550000000000068
robotaxi,50,6.410714285714334
robotaxi,50,-0.766864111498256
robotaxi,50,-28.393977591036418
robotaxi,50,1.2383771929824547
robotaxi,50,15.581421330908427
robotaxi,50,-5.637433511664007
robotaxi,50,82.04658662205293
robotaxi,50,-1.7857142857142776
robotaxi,50,-1.1610917537746843
robotaxi,50,9.197830359721536
robotaxi,50,0.13851136964568944
robotaxi,50,-25.110566425362776
robotaxi,50,-0.024590163934426812
robotaxi,50,41.244161730545784
robotaxi,50,-66.03094837598633
robotaxi,50,-0.12295081967213406
robotaxi,50,2.263731527093597
robotaxi,50,7.741525423728831
robotaxi,50,-0.04098360655737743
robotaxi,50,0.15431034482758577
robotaxi,50,-1.4633762200532363
robotaxi,50,-0.4806632653061236
robotaxi,50,-10.558248299319757
robotaxi,50,-36.28792527263704
robotaxi,50,-3.876330532212883
robotaxi,50,7.5
robotaxi,50,0.7074658055694272
robotaxi,50,3.0
robotaxi,50,-0.21052632999999332
robotaxi,50,0.22000000000000064
robotaxi,50,0.7738125502380946
robotaxi,50,-23.450426975643552
robotaxi,50,0.7478688524590211
robotaxi,50,1.172033050007883
robotaxi,50,199.44822057504734
robotaxi,50,7.720731707317071
robotaxi,50,28.440196078431427
robotaxi,50,2.2499997700000023
robotaxi,50,5.7931034482758434
robotaxi,50,12.581895346033278
robotaxi,50,2.4810344827586164
robotaxi,50,11.778415051950375
robotaxi,50,5.349999999999994
robotaxi,50,1.2290909090909103
robotaxi,50,7.0749154834347365
robotaxi,50,24.107106426610926
robotaxi,50,0.18242520325203415
robotaxi,50,1.4124999999999943
robotaxi,50,1.5250000000000057
robotaxi,50,6.900000000000006
robotaxi,50,-0.8903260869565237
robotaxi,50,68.0673079423077
robotaxi,50,45.20470835078413
robotaxi,50,7.103150260756195
robotaxi,50,444.14223776753715
robotaxi,50,5.6875716159218825
robotaxi,50,-1288.5045248868792
robotaxi,50,0.03478260869565375
robotaxi,50,-0.28476361813559947
robotaxi,50,12.0
robotaxi,50,0.5371478667445935
robotaxi,50,2.765311016949152
robotaxi,50,9.198039215686265
robotaxi,50,0.5436206896551727
robotaxi,50,3.538416510777715
robotaxi,50,51.02639327339966
robotaxi,50,42.03846153846155
robotaxi,50,8.901078431372525
robotaxi,50,0.875
robotaxi,50,-7.829964680972203
robotaxi,50,2.75
robotaxi,50,0.5383390804597692
robotaxi,50,9.5
robotaxi,50,-1.4161538461538452
robotaxi,50,-1.100147058823529
robotaxi,50,-184.23759847142037
robotaxi,50,3.2518567639257157
robotaxi,50,47.68366452367036
robotaxi,50,-1.8089401744138947
robotaxi,50,-11.826654940375185
robotaxi,50,0.7115789473684195
robotaxi,50,-1.7225609756097668
robotaxi,50,113.56891339352478
robotaxi,100,43.25264056240553
robotaxi,100,1.0
robotaxi,100,0.944399066666648
robotaxi,100,32.200000000000045
robotaxi,100,0.7028248587570616
robotaxi,100,0.6867231638418119
robotaxi,100,21.416948762188895
robotaxi,100,0.5
robotaxi,100,-0.2901960784313733
robotaxi,100,5.299999999999997
robotaxi,100,-0.14825442372070796
robotaxi,100,0.09999999999999787
robotaxi,100,40.0
robotaxi,100,2.065853658536584
robotaxi,100,139.8837209302328
robotaxi,100,28.0
robotaxi,100,0.0
robotaxi,100,16.22222222222217
robotaxi,100,34.99999999999977
robotaxi,100,8.0
robotaxi,100,-1.439551149230251
robotaxi,100,0.3999999999999986
robotaxi,100,5.934486485861868
robotaxi,100,1.0466666666666669
robotaxi,100,55.29547971408374
robotaxi,100,-2.061670374768866
robotaxi,100,1.2380952380952337
robotaxi,100,1.25
robotaxi,100,4.0
robotaxi,100,0.48437862950058097
robotaxi,100,9.938128380815044
robotaxi,100,16.50055370985592
robotaxi,100,35.31454628362917
robotaxi,100,0.1551724137931032
robotaxi,100,7.136363636363626
robotaxi,100,0.6211864406779668
robotaxi,100,3.045454545454561
robotaxi,100,13.545454545454504
robotaxi,100,0.5051724137931046
robotaxi,100,9.195495763584034
robotaxi,100,15.333277590301009
robotaxi,100,6.468438538205973
robotaxi,100,12.219444444444434
robotaxi,100,5.084745762711918
robotaxi,100,0.38390243902438925
robotaxi,100,1.4191109664475974
robotaxi,100,1.358620689655174
robotaxi,100,4.3847826086956445
robotaxi,100,13.090643232222305
robotaxi,100,23.0
robotaxi,100,-1.1916605965853542
robotaxi,100,0.7599999199999985
robotaxi,100,9.632411067193516
robotaxi,100,-0.09773114010209838
robotaxi,100,11.0
robotaxi,100,78.52380952380918
robotaxi,100,5.977673874926921
robotaxi,100,76.19047619047615
robotaxi,100,3.711864406779682
robotaxi,100,16.527272727272702
robotaxi,100,26.316056401748256
robotaxi,100,0.3152841686357277
robotaxi,100,-2.445865302642787
robotaxi,100,44.09090909090901
robotaxi,100,0.5172413793103452
robotaxi,100,1.9254237288135556
robotaxi,100,2.5862068965517153
robotaxi,100,0.0
robotaxi,100,75.1396287328489
robotaxi,100,-10.698420136013965
robotaxi,100,42.794482734396524
robotaxi,100,51.41256452605103
robotaxi,100,-2.8132005161322056
robotaxi,100,1.5694915254237287
robotaxi,100,0.6976744186046346
robotaxi,100,0.2833333333333332
robotaxi,100,4.586206896551715
robotaxi,100,0.0
robotaxi,100,1.562114423014478
robotaxi,100,-0.7346511627906978
robotaxi,100,9.843784935767758
robotaxi,100,14.0
robotaxi,100,0.3829690239625947
robotaxi,100,8.581724137931019
robotaxi,100,-0.061729216928625874
robotaxi,100,8.097560975609724
robotaxi,100,-0.0030098598858359082
robotaxi,100,6.161904761904708
robotaxi,100,3.5999999999999943
robotaxi,100,0.5008228632555465
robotaxi,100,0.4389830508474546
robotaxi,100,1.2000000000000028
robotaxi,100,70.0
robotaxi,100,2.0000553709856064
robotaxi,100,13.488372093023258
robotaxi,100,64.76190476190459
robotaxi,100,43.30165124843256
robotaxi,100,0.058333333333331794
robotaxi,100,0.4499999999999993
robotaxi,100,-1.1324955436720145
robotaxi,100,6.484615384615154
robotaxi,100,0.20000000000004547
robotaxi,100,0.9734848484848726
robotaxi,100,-0.17241379310344662
robotaxi,100,-0.11084745762711634
robotaxi,100,0.0600000000000005
robotaxi,100,0.25
robotaxi,100,7.497826086956536
robotaxi,100,1.0
robotaxi,100,-0.11714712643678027
robotaxi,100,0.04026353965183915
robotaxi,100,0.1897821724138069
robotaxi,100,-0.11579352850538882
robotaxi,100,0.1800000000000015
robotaxi,100,0.2233333833333404
robotaxi,100,8.000000000000114
robotaxi,100,0.4200000000000159
robotaxi,100,-3.419053185271764
robotaxi,100,-0.6920833333333327
robotaxi,100,-6.1946147819394355
robotaxi,100,11.57499999999996
robotaxi,100,-3.7755698421974557
robotaxi,100,1.4187195896939713
robotaxi,100,150.85196236047796
robotaxi,100,1.8083333333333655
robotaxi,100,0.7610169491525482
robotaxi,100,2.5912479669112827
robotaxi,100,-0.10344827586206762
robotaxi,100,224.31022456340725
robotaxi,100,-0.18958796025715685
robotaxi,100,28.869565217391255
robotaxi,100,-33.56237247222339
robotaxi,100,0.9275862068965495
robotaxi,100,-0.27377049180324775
robotaxi,100,14.0
robotaxi,100,0.07499999999999929
robotaxi,100,0.09305084745762571
robotaxi,100,-1.2654151854609932
robotaxi,100,-0.8666277614724809
robotaxi,100,-9.93250086856446
robotaxi,100,37.53300749204027
robotaxi,100,-1.4780674665796028
robotaxi,100,7.043112539775308
robotaxi,100,-1.022988505747115
robotaxi,100,-0.46211561931454526
robotaxi,100,18.22763237043182
robotaxi,100,0.0988700564971765
robotaxi,100,-0.1855932203389834
robotaxi,100,-16.15820810063599
robotaxi,100,3.162998790499529
robotaxi,100,-0.3551139684395075
robotaxi,100,1.7500000000000142
robotaxi,100,-0.9741379310344769
robotaxi,100,-0.9660037002775255
robotaxi,100,-0.14999999999999858
robotaxi,100,-0.8676082862523344
robotaxi,100,-13.112670068027228
robotaxi,100,-0.3894398440120206
robotaxi,100,-4.693513183067353
robotaxi,100,-9.774779572188436
robotaxi,100,0.18671927146323242
robotaxi,100,-30.69882354106494
robotaxi,100,51.32758620689674
robotaxi,100,3.3662790697674723
robotaxi,100,-0.6333333333333329
robotaxi,100,-7.7295307860295
robotaxi,100,7.607692307692304
